3720.00	402
3000.00	401
3720.00	403
3720.00	406
800.00	22.05
440.00	07.15
350.00	22.08
390.00	22.07
2610.00	405
460.00	02.13
760.00	01.80
550.00	05.17
550.00	05.08
490.00	05.03
550.00	05.04
600.00	05.05
440.00	05.06
410.00	05.16
680.00	05.07
350.00	05.15
800.00	05.12
470.00	05.13
650.00	05.11
800.00	05.10
920.00	04.76
190.00	01.78
730.00	01.50
730.00	01.49
730.00	01.52
730.00	01.53
1300.00	09.58
500.00	01.55
640.00	04.73
640.00	04.74
490.00	04.27
510.00	04.82
450.00	04.29
200.00	01.24
400.00	99.24
440.00	04.16
440.00	04.17
440.00	04.18
220.00	01.01
440.00	04.13
440.00	04.14
440.00	04.15
495.00	107
400.00	99.01
1390.00	COV.19
950.00	06.08
200.00	01.07
400.00	99.07
485.00	111
330.00	04.46
760.00	04.48
470.00	04.47
260.00	02.05
950.00	18.08
1640.00	04.77
480.00	01.33
480.00	01.37
1100.00	02.11
490.00	02.16
490.00	04.94
560.00	04.52
560.00	04.53
410.00	04.51
330.00	01.32
2510.00	04.90
760.00	01.75
200.00	01.08
400.00	99.08
570.00	03.01
520.00	05.02
290.00	05.01
230.00	05.14
430.00	03.02
1750.00	03.03
1100.00	03.06
1090.00	03.05
600.00	03.04
2390.00	03.07
3500.00	03.11
600.00	03.08
1500.00	06.18
420.00	13.01
660.00	04.63
820.00	04.62
420.00	04.24
180.00	01.05
190.00	01.57
180.00	01.06
380.00	04.08
380.00	04.09
380.00	04.10
380.00	04.11
430.00	04.91
430.00	04.92
260.00	02.03
400.00	99.06
260.00	02.02
400.00	99.05
760.00	01.65
210.00	01.18
240.00	01.64
240.00	01.63
240.00	01.61
240.00	01.62
240.00	01.16
2890.00	01.87
300.00	01.56
790.00	01.86
1400.00	01.84
490.00	01.85
310.00	01.15
490.00	120
260.00	02.04
700.00	04.49
400.00	20.04
520.00	47.01
520.00	47.02
520.00	47.04
520.00	47.05
2700.00	П515
520.00	42.04
520.00	42.05
520.00	42.03
515.00	П525
515.00	П526
515.00	П524
520.00	47.06
520.00	33.02
520.00	47.07
520.00	47.03
515.00	П527
520.00	37.01
520.00	38.01
515.00	П535
520.00	45.01
520.00	50.01
520.00	50.02
520.00	51.01
520.00	37.02
520.00	48.02
960.00	39.01
520.00	37.03
520.00	35.01
520.00	37.04
520.00	51.02
520.00	48.01
520.00	39.02
520.00	38.02
520.00	37.05
520.00	32.01
520.00	51.03
520.00	46.01
515.00	П529
520.00	38.03
960.00	39.03
520.00	37.06
520.00	37.07
520.00	46.02
520.00	39.04
520.00	34.02
520.00	32.02
520.00	35.02
520.00	39.05
520.00	37.08
520.00	36.01
520.00	34.03
520.00	37.09
7000.00	П306
520.00	51.05
1000.00	51.04
520.00	42.01
520.00	42.02
520.00	46.03
520.00	37.10
520.00	44.01
520.00	50.03
1150.00	П320
515.00	П537
960.00	45.02
520.00	51.06
520.00	46.04
520.00	39.06
450.00	20.07
520.00	32.03
520.00	51.07
515.00	П530
520.00	33.01
520.00	31.01
520.00	31.02
520.00	38.04
960.00	39.07
520.00	38.05
520.00	36.03
515.00	П531
520.00	36.04
520.00	37.12
520.00	46.05
520.00	37.13
520.00	36.05
960.00	44.02
520.00	43.01
520.00	39.08
520.00	44.03
510.00	41.02
515.00	31.03
520.00	45.03
520.00	31.04
520.00	32.04
520.00	34.04
520.00	36.06
520.00	32.05
520.00	41.09
520.00	39.09
515.00	П533
520.00	49.01
520.00	45.04
520.00	46.06
520.00	51.08
520.00	37.15
520.00	46.07
520.00	31.05
520.00	41.03
520.00	38.06
960.00	39.10
520.00	40.02
520.00	37.16
520.00	37.18
520.00	38.07
520.00	40.03
515.00	П538
520.00	36.07
520.00	30.05
520.00	30.06
520.00	30.04
960.00	43.02
520.00	38.08
520.00	41.04
515.00	П528
960.00	39.11
520.00	44.05
515.00	51.09
960.00	45.07
520.00	34.05
520.00	44.06
520.00	38.09
520.00	45.08
520.00	46.08
520.00	43.07
520.00	43.08
520.00	40.01
520.00	50.04
520.00	50.05
520.00	38.10
520.00	38.11
520.00	39.12
520.00	37.19
960.00	39.13
7000.00	П303
7000.00	П302
2700.00	П514
2200.00	П342
520.00	45.09
520.00	45.10
960.00	44.07
520.00	45.06
520.00	41.10
520.00	41.11
960.00	45.11
1210.00	51.10
520.00	51.11
520.00	34.06
520.00	43.09
520.00	34.07
520.00	44.08
1000.00	П326
520.00	44.09
960.00	31.07
7000.00	П305
5175.00	П304
520.00	34.08
520.00	34.09
520.00	44.10
520.00	45.12
520.00	31.08
520.00	32.06
520.00	44.11
1150.00	П512
520.00	39.14
520.00	31.09
5175.00	П504
5175.00	П513
520.00	31.10
520.00	37.20
3000.00	П511
1150.00	П510
1150.00	П517
1150.00	П518
1150.00	П520
1150.00	П521
1150.00	П522
1150.00	П322
1150.00	П505
2700.00	П506
1150.00	П323
2200.00	П508
1150.00	П321
4500.00	П516
1150.00	П519
1150.00	П327
1150.00	П324
1150.00	П509
1150.00	П523
960.00	37.21
520.00	41.05
520.00	35.03
520.00	46.09
960.00	31.11
960.00	47.08
960.00	47.09
780.00	51.13
515.00	П540
520.00	30.07
520.00	30.08
520.00	43.05
515.00	П532
520.00	44.12
960.00	39.15
520.00	39.16
515.00	П536
520.00	38.12
520.00	46.10
520.00	31.12
520.00	31.13
520.00	38.15
520.00	35.04
520.00	35.05
520.00	36.08
520.00	31.14
520.00	36.09
520.00	31.15
520.00	41.06
960.00	37.23
520.00	50.06
515.00	П539
520.00	33.03
515.00	П534
520.00	38.16
520.00	35.06
1150.00	П507
1150.00	П319
520.00	39.18
520.00	37.24
520.00	30.10
520.00	30.11
520.00	34.10
400.00	20.06
400.00	20.05
190.00	01.20
450.00	04.64
750.00	19.08
320.00	01.23
380.00	02.14
390.00	04.30
550.00	04.22
190.00	01.21
760.00	04.61
800.00	04.23
300.00	01.13
400.00	99.02
200.00	01.02
470.00	04.54
470.00	04.55
470.00	04.97
410.00	01.93
460.00	04.56
460.00	04.57
460.00	04.58
10500.00	52.72
200.00	01.09
485.00	121
400.00	99.09
1000.00	06.10
3200.00	09.88
2200.00	07.38
760.00	15.01
730.00	01.51
1120.00	04.65
1120.00	04.66
560.00	01.82
940.00	01.76
830.00	01.54
760.00	01.71
1240.00	15.03
1300.00	15.02
560.00	01.34
560.00	01.36
560.00	71.22
